"","V1","V2","V3","V4","V5"
"mean_0.1",359.448939334697,16252.9540607995,57418.5903498,63274.1064776811,667.506077644094
"std",186.415812083878,21038.5530750349,78488.7861073623,78450.6578674328,584.048496092247
"mean_0.2",359.448939334697,16252.9540607995,57418.5903498,63274.1064776811,667.506077644094
"std",186.415812083878,21038.5530750349,78488.7861073623,78450.6578674328,584.048496092247
"mean_0.3",359.448939334697,16252.9540607995,57418.5903498,63274.1064776811,667.506077644094
"std",186.415812083878,21038.5530750349,78488.7861073623,78450.6578674328,584.048496092247
"mean_0.4",359.448939334697,16252.9540607995,57418.5903498,63274.1064776811,667.506077644094
"std",186.415812083878,21038.5530750349,78488.7861073623,78450.6578674328,584.048496092247
"mean_0.5",359.448939334697,16252.9540607995,57418.5903498,63274.1064776811,667.506077644094
"std",186.415812083878,21038.5530750349,78488.7861073623,78450.6578674328,584.048496092247
"mean_0.6",359.448939334697,16252.9540607995,57418.5903498,63274.1064776811,667.506077644094
"std",186.415812083878,21038.5530750349,78488.7861073623,78450.6578674328,584.048496092247
"mean_0.7",359.448939334697,16252.9540607995,57418.5903498,63274.1064776811,667.506077644094
"std",186.415812083878,21038.5530750349,78488.7861073623,78450.6578674328,584.048496092247
"mean_0.8",359.448939334697,16252.9540607995,57418.5903498,63274.1064776811,667.506077644094
"std",186.415812083878,21038.5530750349,78488.7861073623,78450.6578674328,584.048496092247
"mean_0.9",359.448939334697,16252.9540607995,57418.5903498,63274.1064776811,667.506077644094
"std",186.415812083878,21038.5530750349,78488.7861073623,78450.6578674328,584.048496092247
"mean_1",359.448939334697,16252.9540607995,57418.5903498,63274.1064776811,667.506077644094
"std",186.415812083878,21038.5530750349,78488.7861073623,78450.6578674328,584.048496092247
"mean_1.5",360.499917120826,9453.45220634053,57418.2046188342,63327.9757901177,502.568708660074
"std",185.971538847469,11575.6377814354,78489.4525717547,78685.2056848886,422.670211458743
"mean_2",361.007341714342,10580.6519267422,57417.4780273751,63343.9546611428,6864.54690474202
"std",185.94326646322,13401.2947691031,78489.569595578,78760.7026522606,8877.91466284467
"mean_2.5",355.605122110517,24058.1591773407,1457.70522456084,5355792.54743731,1031.06222775928
"std",181.253899664658,28473.7281168924,2435.68672809593,5973632.85439723,1193.81942422216
"mean_3",347.192959992389,40706.7101945952,1674.44429957002,2642.12314460304,561.20132939462
"std",184.326998216126,42270.348065837,1944.78425057618,2835.23527159489,446.421210403372
"mean_3.5",331.624970398588,1570.00365926253,192420.525672943,5294.3363636425,427.160158105116
"std",353.786029319611,1760.9590631241,192513.863759959,6693.35090804499,269.470289662045
"mean_4",363.946947662594,1000.63941097868,1732.62080339374,41299.0674817183,419.502125671012
"std",125.597713954058,1375.38411292074,1645.00984950465,53411.4133812111,259.874891510278
"mean_4.5",485.539527873911,11389.8378844973,675.47399789615,7460.63681755764,53603.634066721
"std",297.500002423837,15701.1251235393,834.883322652263,9569.55102776415,74295.2256109249
"mean_5",1189.8343139166,10146.9705713941,547.37971324879,4525.55879817904,1143.6882109379
"std",1090.07535055404,15556.6748335195,818.386235224086,5778.43119696998,1510.23672289163
