"HomeRegion","ukr","rus","mold","bilorus","other"
"Вінницька область",94.8059575587434,4.73546779262834,0.0976788378769394,0.0550470990008753,0.305848711750486
"Волинська область",97.2623328862463,2.50649348192514,0.0151341166499876,0.113978816020219,0.102060699158354
"Дніпропетровська область",67.0018791291983,31.9142238735895,0.0451810950392337,0.17519257423852,0.863523327934441
"Донецька область",24.1025762175315,74.9230918754972,0.024225152588413,0.100340623467148,0.849766130915709
"Житомирська область",93.024725525861,6.57291154565668,0.0529046068755835,0.101778386560646,0.247679935046099
"Закарпатська область",81.002443779521,2.90224722504292,0.0291723191356066,0.0475843566228338,16.0185523196776
"Запорізька область",50.2036007701849,48.1944768814777,0.0388206413709707,0.112050487593484,1.45105121937295
"Івано-Франківська область",97.8057489746673,1.77679288315652,0.0262422580005106,0.0454439101960062,0.345771973979628
"Київська область",92.2715933184006,7.1675797790409,0.0428870861547197,0.165343170821845,0.352596645581889
"Кіровоградська область",88.8874872968382,10.0205737920448,0.438303497189314,0.159988771471008,0.493646642456632
"Луганська область",30.0135698457321,68.8369102953282,0.0272814130905904,0.106173118478099,1.01606532737105
"Львівська область",95.3237122959866,3.77159092478921,0.0162320468956498,0.0660793965822907,0.822385335746267
"м. Київ",72.1475617200627,25.2693757930122,0.0254776772305531,0.118428346759758,2.43915646293485
"Миколаївська область",69.1977743271631,29.2572090087964,0.579302066119302,0.132789716358949,0.832924881562183
"Одеська область",46.2836151170395,41.9474798282828,3.77657222114082,0.109135362871009,7.8831974706658
"Полтавська область",89.977775817647,9.46905607982201,0.0872806495407434,0.124906936621912,0.34098051636836
"Рівненська область",97.0045542044227,2.7286812441045,0.0167314726683711,0.116864214709184,0.133168864095199
"Сумська область",83.2941717183479,15.5039895493625,0.0285325845971855,0.114824374230295,1.05848177346207
"Тернопільська область",98.3376372419851,1.19121651295564,0.0216952129995608,0.0349582784365393,0.414492753623188
"Харківська область",53.801125970496,44.2935714426311,0.0277642237257723,0.117479961585917,1.76005840156115
"Херсонська область",73.1938305893549,24.8559507252136,0.153663929652278,0.175408825357789,1.62114593042145
"Хмельницька область",95.2385625336015,4.08951325799128,0.0480847075910052,0.0588792337849043,0.564960267031344
"Черкаська область",92.4930255243282,6.65652110793506,0.0631475213346368,0.0916103905205773,0.69569545588148
"Чернівецька область",75.5654887555113,5.2701332277145,6.79456991517125,0.049291207667231,12.3205168939358
"Чернігівська область",89.0466116264112,10.2607872563336,0.0246750777669459,0.192303802793542,0.475622236694672
