"HomeRegion","білоруську","болгарську","вірменську","гагаузьку","грецьку","єврейську","іншу мову","караїмську","кримськотатарську","молдовську","не вказали мову","німецьку","польську","російську","румунську","словацьку","угорську","українську","циганську"
"Вінницька область",0.0550470990008753,0.00623602563346682,0.0362823309583524,0.00300463053248856,0.000510220279101831,0.0148530792360755,0.0870209031579234,5.66911421224257e-05,0,0.0976788378769394,0.109980815717506,0.0019841899742849,0.0138326386778719,4.73546779262834,0.00351485081159039,5.66911421224257e-05,0.00238102796914188,94.8059575587434,0.0261346165184382
"Волинська область",0.113978816020219,0.00236470572656056,0.0185392928962348,0.000945882290624226,0.000662117603436958,0.000945882290624226,0.0513614083808954,0,0,0.0151341166499876,0,0.00198635281031087,0.0146611755046755,2.50649348192514,0.00170258812312361,0.00132423520687392,0.00539152905655809,97.2623328862463,0.00217552926843572
"Дніпропетровська область",0.17519257423852,0.0139839560780226,0.166515782214205,0.00513868265517698,0.00252722097795589,0.00727278036989529,0.270356484175104,0.000196561631618792,8.42406992651965e-05,0.0451810950392337,0.300346173113514,0.00648653384342013,0.00687965710665771,31.9142238735895,0.00263954191030949,0.000280802330883988,0.00915415598681802,67.0018791291983,0.0716607548415938
"Донецька область",0.100340623467148,0.00766749910839419,0.130285315931012,0.00198940517406984,0.0872229831006247,0.00290121587885186,0.383229894625767,4.14459411264551e-05,4.14459411264551e-05,0.024225152588413,0.181802620751195,0.00464194540616297,0.00408242520095583,74.9230918754972,0.00122265526323043,0.000248675646758731,0.0028597699377254,24.1025762175315,0.041528833008708
"Житомирська область",0.101778386560646,0.00345499473473198,0.0323905756381123,0.000791769626709413,0.000935727740656579,0.0103649842041959,0.0757219679362093,0,7.1979056973583e-05,0.0529046068755835,0.0310949526125878,0.00503853398815081,0.0466424289188818,6.57291154565668,0.00359895284867915,0.000431874341841498,0.00345499473473198,93.024725525861,0.0336861986636368
"Закарпатська область",0.0475843566228338,0.00502146476924377,0.0231146790965189,0.000956469479855956,0.000797057899879963,0.00677499214897969,0.137014252989366,0,0,0.0291723191356066,0.0234335022564709,0.147455711477793,0.0103617526984395,2.90224722504292,2.56843937657319,0.20524240921909,12.6516203390047,81.002443779521,0.238320312064109
"Запорізька область",0.112050487593484,0.472905994882734,0.185176535309657,0.0058646156081814,0.00835577976032925,0.00570891784867216,0.594973038337978,0.000415194025357975,0.0153621789382451,0.0388206413709707,0.0725551559313062,0.00768108946912254,0.00389244398773102,48.1944768814777,0.00160887684826215,0.000415194025357975,0.00581271635501165,50.2036007701849,0.070323488045007
"Івано-Франківська область",0.0454439101960062,0.00376921320874543,0.0115209913172973,0.000711172303536873,0.000426703382122124,0.00284468921414749,0.0426703382122124,0.000213351691061062,0,0.0262422580005106,0.222099110394566,0.00384033043909912,0.0328561604234035,1.77679288315652,0.00433815105157493,0.000640055073183186,0.00739619195678348,97.8057489746673,0.0124455153118953
"Київська область",0.165343170821845,0.00928030417432475,0.0765487811775663,0.00258091299522641,0.000713869551871135,0.00389882601406543,0.132834649690483,0,0.000109826084903251,0.0428870861547197,0.0773724768143406,0.00230634778296828,0.00840169549509874,7.1675797790409,0.00499708686309794,0.000219652169806503,0.00477743469329144,92.2715933184006,0.0285547820748454
"Кіровоградська область",0.159988771471008,0.049480147534343,0.197920590137372,0.0046193315471918,0.00222083247461144,0.00266499896953373,0.153148607449205,0,8.88332989844577e-05,0.438303497189314,0.0023096657735959,0.0046193315471918,0.0039974984543006,10.0205737920448,0.00532999793906746,0.000621833092891204,0.0129696616517308,88.8874872968382,0.0536553125866125
"Луганська область",0.106173118478099,0.00582633353161239,0.117314013001385,0.00212582439666938,0.00196835592284202,0.00212582439666938,0.271593750233742,0,0,0.0272814130905904,0.554800800412252,0.00322810371346092,0.00334620506883144,68.8369102953282,0.000944810842964171,0,0.00240139422586727,30.0135698457321,0.0503899116247558
"Львівська область",0.0660793965822907,0.00414435239888931,0.0197624211613703,0.00122795626633757,0.000690725399814886,0.00525718776525774,0.0601314834172181,3.83736333230492e-05,7.67472666460984e-05,0.0162320468956498,0.282161325824381,0.00441296783215066,0.412746800022717,3.77159092478921,0.00330013246578223,0.000920967199753181,0.0127400462632523,95.3237122959866,0.0147738488293739
"м. Київ",0.118428346759758,0.0151541535820874,0.0774069490169863,0.002493228352837,0.00354505906419011,0.0167903346886367,0.363660729277085,0.000272696851091547,0.000311653544104625,0.0254776772305531,1.91974687499148,0.00529811024977863,0.0193614764274998,25.2693757930122,0.00381775591528166,0.00109078740436619,0.00518124017073939,72.1475617200627,0.00502541339868708
"Миколаївська область",0.132789716358949,0.134056642692725,0.194235643547109,0.0311188780733851,0.00213793818824783,0.00633463166888247,0.291313873872732,0,0.000158365791722062,0.579302066119302,0.100324729055926,0.00522607112682804,0.00783910669024205,29.2572090087964,0.00427587637649567,0.000237548687583093,0.00475097375166185,69.1977743271631,0.0509146020386428
"Одеська область",0.109135362871009,4.86650057458954,0.158368442613939,0.901914185398177,0.0165331930319514,0.0201167422605517,0.46235929479009,0.000285055052275024,0.000488665803900042,3.77657222114082,1.32086366794181,0.0123795336988011,0.00883670662052576,41.9474798282828,0.0138862532608262,0.000447943653575038,0.00358354922860031,46.2836151170395,0.0966336627212333
"Полтавська область",0.124906936621912,0.00610656134596014,0.101714339994831,0.00234393263784329,0.00123364875675962,0.00333085164325099,0.163273412957136,0,0,0.0872806495407434,0,0.0039476760216308,0.00339253408108897,9.46905607982201,0.00277570970270915,6.16824378379812e-05,0.0156673392108472,89.977775817647,0.0371328275784647
"Рівненська область",0.116864214709184,0.00307312763296612,0.0135729803789337,0.00102437587765537,0.000853646564712812,0.00204875175531075,0.0562553086145743,0,0,0.0167314726683711,0.0171582959507275,0.00170729312942562,0.0170729312942562,2.7286812441045,0.00324385694590869,0.00196338709883947,0.00469505610592047,97.0045542044227,0.0104998527459676
"Сумська область",0.114824374230295,0.0047040207038603,0.0555999824177587,0.0011567264025886,0.000771150935059066,0.0011567264025886,0.106341713944645,7.71150935059066e-05,0.000308460374023627,0.0285325845971855,0.829141485375508,0.00277614336621264,0.00223633771167129,15.5039895493625,0.00177364715063585,0.000154230187011813,0.00431844523633077,83.2941717183479,0.0479655881606739
"Тернопільська область",0.0349582784365393,0.00342555994729908,0.014580588493632,0.00114185331576636,0.000702678963548529,0.00114185331576636,0.0412823891084761,0,0,0.0216952129995608,0.307685551163812,0.00237154150197628,0.0303908651734739,1.19121651295564,0.00289855072463768,0.000351339481774264,0.00693895476504172,98.3376372419851,0.00158102766798419
"Харківська область",0.117479961585917,0.0068719906982944,0.180294791134649,0.00186476129501456,0.00290073979224487,0.00538708818559762,0.490812079371147,0.000103597849723031,0.000241728316020406,0.0277642237257723,1.00030630430901,0.00359139212373175,0.00504176201985418,44.2935714426311,0.00103597849723031,0.000138130466297375,0.00890941507618068,53.801125970496,0.0525586424261511
"Херсонська область",0.175408825357789,0.0203805100926162,0.262558956381445,0.00690720216527997,0.00281404532659554,0.00451952734271405,0.977923388042354,0,0.0681340065439345,0.153663929652278,0.166455044773167,0.00878323238301033,0.00648083166125034,24.8559507252136,0.00511644604835553,8.52741008059255e-05,0.0108298108023525,73.1938305893549,0.08015765475757
"Хмельницька область",0.0588792337849043,0.00399537657826137,0.0557950834437903,0.00175235814836025,0.00021028297780323,0.00939263967521093,0.241334764192173,0,0,0.0480847075910052,0.0421967842125148,0.00154207517055702,0.17993213467363,4.08951325799128,0.00427575388199901,0.00028037730373764,0.00455613118573665,95.2385625336015,0.0196965055875692
"Черкаська область",0.0916103905205773,0.00986903504437132,0.0877485941988668,0.00207392765425194,0.0015018096806652,0.00486300277548732,0.115853889651316,0,0,0.0631475213346368,0.406203761246588,0.002503016134442,0.00493451752218566,6.65652110793506,0.00207392765425194,0.000143029493396686,0.00772359264342104,92.4930255243282,0.0502033521822367
"Чернівецька область",0.049291207667231,0.0126220311024256,0.0184978042018306,0.00261145471084668,0.00119691674247139,0.0325343732726315,0.096732634914279,0,0.000108810612951945,6.79456991517125,0.128940576348055,0.00979295516567504,0.159298737361647,5.2701332277145,11.8450145153358,0,0.00522290942169335,75.5654887555113,0.00794317474549198
"Чернігівська область",0.192303802793542,0.00501591744770704,0.0448196494520919,0.0021843511465821,0.000404509471589277,0.00299337008976065,0.0710318632110771,0,0.000404509471589277,0.0246750777669459,0.300065126024926,0.00161803788635711,0.0029124681954428,10.2607872563336,0.00388329092725706,0.000404509471589277,0.00323607577271422,89.0466116264112,0.0366485581259885
